Data Point,Date,Simple Date,Outdoor Temperature (캟),Feels Like (째F),Dew Point (째F),Wind Speed (mph),Wind Gust (mph),Max Daily Gust (mph),Wind Direction (째),Hourly Rain (in/hr),Event Rain (in),Daily Rain (in),Weekly Rain (in),Monthly Rain (in),Total Rain (in),Relative Pressure (inHg),Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),Indoor Temperature (째F),Indoor Humidity (%),Greenhouse  Temperature (째F),Greenhouse  Humidity (%),Office Temperature (째F),Office Humidity (%),Garage Temperature (째F),Garage Humidity (%),Basement Temperature (째F),Basement Humidity (%),Sensor 5 Temperature (째F),Absolute Pressure (inHg),Outdoor Battery,Greenhouse  Battery,Office Battery,Garage Battery,Sensor 5 Battery,CO2 battery,Greenhouse  Feels Like (째F),Greenhouse  Dew Point (째F),Office Feels Like (째F),Office Dew Point (째F),Garage Feels Like (째F),Garage Dew Point (째F),Indoor Feels Like (째F),Indoor Dew Point (째F),Basement Battery,Basement Feels Like (째F),Basement Dew Point (째F)
331,2023-06-12T03:30:00-04:00,6/12/2023 3:30,70.7,71,62.8,1.3,2.2,12.5,46,0,0,0,0,0.02,105.91,30.06,76,0,0,67.6,44,72.9,58,81.1,37,77,46,62.8,53,63.5,28.75,1,1,1,1,1,1,72.6,57.2,80.4,52.3,76.6,54.6,67.6,44.9,1,62.8,45.4
332,2023-06-12T03:35:00-04:00,6/12/2023 3:35,70.7,71,62.8,2,2.2,12.5,328,0,0,0,0,0.02,105.91,30.06,76,0,0,67.6,44,72.9,58,81.1,38,76.8,46,62.8,53,63.5,28.75,1,1,1,1,1,1,72.6,57.2,80.5,53.1,76.3,54.4,67.6,44.9,1,62.8,45.4
333,2023-06-12T03:40:00-04:00,6/12/2023 3:40,70.5,70.8,62.6,3.4,5.8,12.5,130,0,0,0,0,0.02,105.91,30.05,76,0,0,67.6,44,72.7,58,81,38,76.8,46,62.8,53,63.5,28.75,1,1,1,1,1,1,72.4,57.1,80.5,53,76.3,54.4,67.6,44.9,1,62.8,45.4
334,2023-06-12T03:45:00-04:00,6/12/2023 3:45,70.7,71,62.8,0.4,1.1,12.5,30,0,0,0,0,0.02,105.91,30.06,76,0,0,67.6,44,72.7,58,81,38,76.8,46,62.8,53,63.5,28.75,1,1,1,1,1,1,72.4,57.1,80.5,53,76.3,54.4,67.6,44.9,1,62.8,45.4
335,2023-06-12T03:50:00-04:00,6/12/2023 3:50,70.7,71,62.8,1.8,2.2,12.5,134,0,0,0,0,0.02,105.91,30.06,76,0,0,67.3,44,72.7,59,81,38,76.8,46,62.8,53,63.5,28.75,1,1,1,1,1,1,72.4,57.5,80.5,53,76.3,54.4,67.3,44.6,1,62.8,45.4
336,2023-06-12T03:55:00-04:00,6/12/2023 3:55,70.7,71,62.8,1.6,2.2,12.5,34,0,0,0,0,0.02,105.91,30.06,76,0,0,67.5,44,72.7,59,81,38,76.8,46,62.8,53,63.5,28.75,1,1,1,1,1,1,72.4,57.5,80.5,53,76.3,54.4,67.5,44.8,1,62.8,45.4
337,2023-06-12T04:00:00-04:00,6/12/2023 4:00,70.5,70.8,62.6,1.8,2.2,12.5,44,0,0,0,0,0.02,105.91,30.06,76,0,0,67.6,44,72.7,59,81,38,76.8,46,62.8,53,63.5,28.75,1,1,1,1,1,1,72.4,57.5,80.5,53,76.3,54.4,67.6,44.9,1,62.8,45.4
338,2023-06-12T04:05:00-04:00,6/12/2023 4:05,70.5,70.8,62.6,3.1,4.5,12.5,161,0,0,0,0,0.02,105.91,30.06,76,0,0,67.6,44,72.5,59,80.8,38,76.8,46,62.8,53,63.5,28.75,1,1,1,1,1,1,72.2,57.3,80.3,52.8,76.3,54.4,67.6,44.9,1,62.8,45.4
339,2023-06-12T04:10:00-04:00,6/12/2023 4:10,70.5,70.8,62.6,1.6,3.4,12.5,38,0,0,0,0,0.02,105.91,30.07,76,0,0,67.8,44,72.5,59,80.8,38,77,46,62.8,53,63.5,28.76,1,1,1,1,1,1,72.2,57.3,80.3,52.8,76.6,54.6,67.8,45.1,1,62.8,45.4
340,2023-06-12T04:15:00-04:00,6/12/2023 4:15,70.5,70.9,62.9,2,3.4,12.5,71,0,0,0,0,0.02,105.91,30.06,77,0,0,67.8,44,72.5,59,80.8,38,77,47,62.8,54,63.5,28.75,1,1,1,1,1,1,72.2,57.3,80.3,52.8,76.6,55.2,67.8,45.1,1,62.8,45.9
341,2023-06-12T04:20:00-04:00,6/12/2023 4:20,70.5,70.9,62.9,1.8,2.2,12.5,13,0,0,0,0,0.02,105.91,30.07,77,0,0,67.8,44,72.5,59,80.8,38,76.8,47,63,54,63.5,28.76,1,1,1,1,1,1,72.2,57.3,80.3,52.8,76.4,55,67.8,45.1,1,63,46.1
342,2023-06-12T04:25:00-04:00,6/12/2023 4:25,70.3,70.6,62.7,2,3.4,12.5,28,0,0,0,0,0.02,105.91,30.05,77,0,0,67.5,44,72.5,59,80.8,38,76.8,46,62.8,54,63.5,28.75,1,1,1,1,1,1,72.2,57.3,80.3,52.8,76.3,54.4,67.5,44.8,1,62.8,45.9
343,2023-06-12T04:30:00-04:00,6/12/2023 4:30,70.3,70.6,62.7,1.8,2.2,12.5,17,0,0,0,0,0.02,105.91,30.06,77,0,0,67.6,44,72.3,59,80.8,38,77,47,63,54,63.5,28.75,1,1,1,1,1,1,72,57.2,80.3,52.8,76.6,55.2,67.6,44.9,1,63,46.1
344,2023-06-12T04:35:00-04:00,6/12/2023 4:35,70.3,70.6,62.7,1.8,2.2,12.5,31,0,0,0,0,0.02,105.91,30.06,77,0,0,67.8,44,72.3,59,80.8,38,76.8,47,63,53,63.5,28.75,1,1,1,1,1,1,72,57.2,80.3,52.8,76.4,55,67.8,45.1,1,63,45.6
345,2023-06-12T04:40:00-04:00,6/12/2023 4:40,70.2,70.6,63,2,3.4,12.5,183,0,0,0,0,0.02,105.91,30.05,78,0,0,67.8,44,72.3,59,80.6,38,76.8,47,63,53,63.7,28.74,1,1,1,1,1,1,72,57.2,80.2,52.6,76.4,55,67.8,45.1,1,63,45.6
346,2023-06-12T04:45:00-04:00,6/12/2023 4:45,70.2,70.6,63,1.3,2.2,12.5,38,0,0,0,0,0.02,105.91,30.05,78,0,0,68,44,72.3,59,80.6,38,76.8,47,63,54,63.7,28.75,1,1,1,1,1,1,72,57.2,80.2,52.6,76.4,55,68,45.3,1,63,46.1
347,2023-06-12T04:50:00-04:00,6/12/2023 4:50,70.2,70.6,63,2,3.4,12.5,18,0,0,0,0,0.02,105.91,30.06,78,0,0,68,44,72.3,59,80.6,38,76.8,47,63,54,63.7,28.75,1,1,1,1,1,1,72,57.2,80.2,52.6,76.4,55,68,45.3,1,63,46.1
348,2023-06-12T04:55:00-04:00,6/12/2023 4:55,70.2,70.6,63,2.2,3.4,12.5,41,0,0,0,0,0.02,105.91,30.05,78,0,0,68,44,72.3,60,80.6,38,76.8,47,63,54,63.7,28.75,1,1,1,1,1,1,72,57.6,80.2,52.6,76.4,55,68,45.3,1,63,46.1
349,2023-06-12T05:00:00-04:00,6/12/2023 5:00,70,70.4,62.8,1.3,2.2,12.5,34,0,0,0,0,0.02,105.91,30.05,78,0,0,67.6,44,72.1,60,80.6,38,76.8,47,63,54,63.7,28.74,1,1,1,1,1,1,71.8,57.4,80.2,52.6,76.4,55,67.6,44.9,1,63,46.1
350,2023-06-12T05:05:00-04:00,6/12/2023 5:05,69.8,70.2,63,1.6,2.2,12.5,49,0,0,0,0,0.02,105.91,30.05,79,0,0,67.6,44,72.1,60,80.6,38,76.8,47,63,54,63.7,28.74,1,1,1,1,1,1,71.8,57.4,80.2,52.6,76.4,55,67.6,44.9,1,63,46.1
351,2023-06-12T05:10:00-04:00,6/12/2023 5:10,69.6,70,62.8,0.7,1.1,12.5,46,0,0,0,0,0.02,105.91,30.05,79,0,0,67.8,44,72.1,60,80.4,38,76.8,47,,,63.7,28.75,1,1,1,1,1,1,71.8,57.4,80,52.4,76.4,55,67.8,45.1,,,
352,2023-06-12T05:15:00-04:00,6/12/2023 5:15,69.6,70,62.8,1.6,2.2,12.5,49,0,0,0,0,0.02,105.91,30.05,79,0,0,68,44,72,60,80.4,38,76.6,47,63,54,63.7,28.74,1,1,1,1,1,1,71.7,57.3,80,52.4,76.2,54.8,68,45.3,1,63,46.1
353,2023-06-12T05:20:00-04:00,6/12/2023 5:20,69.6,70,62.8,2.9,3.4,12.5,32,0,0,0,0,0.02,105.91,30.06,79,0,0,68,44,72,60,80.4,38,76.6,47,63,54,63.7,28.75,1,1,1,1,1,1,71.7,57.3,80,52.4,76.2,54.8,68,45.3,1,63,46.1
354,2023-06-12T05:25:00-04:00,6/12/2023 5:25,69.6,70,62.8,2.2,3.4,12.5,54,0,0,0,0,0.02,105.91,30.06,79,0,0,68,44,72,60,80.4,38,76.6,47,63,54,,28.75,1,1,1,1,,1,71.7,57.3,80,52.4,76.2,54.8,68,45.3,1,63,46.1
355,2023-06-12T05:30:00-04:00,6/12/2023 5:30,69.6,70,62.8,2,3.4,12.5,59,0,0,0,0,0.02,105.91,30.05,79,0,0,68,44,72,60,80.4,38,76.6,47,63.1,54,,28.74,1,1,1,1,,1,71.7,57.3,80,52.4,76.2,54.8,68,45.3,1,63.1,46.2
356,2023-06-12T05:35:00-04:00,6/12/2023 5:35,69.6,70,63.1,1.8,3.4,12.5,30,0,0,0,0,0.02,105.91,30.05,80,0,0,67.6,44,71.8,61,80.4,38,76.6,47,63,54,,28.75,1,1,1,1,,1,71.5,57.6,80,52.4,76.2,54.8,67.6,44.9,1,63,46.1
357,2023-06-12T05:40:00-04:00,6/12/2023 5:40,69.4,69.8,63,2.5,4.5,12.5,85,0,0,0,0,0.02,105.91,30.06,80,0,0,67.8,44,71.8,61,80.2,38,76.6,47,63,54,,28.75,1,1,1,1,,1,71.5,57.6,79.9,52.3,76.2,54.8,67.8,45.1,1,63,46.1
358,2023-06-12T05:45:00-04:00,6/12/2023 5:45,69.4,69.8,63,0.7,1.1,12.5,38,0,0,0,0,0.02,105.91,30.05,80,0,1.2,68,44,71.6,61,80.2,38,76.5,47,,,63.7,28.74,1,1,1,1,1,1,71.3,57.4,79.9,52.3,76.1,54.8,68,45.3,,,
359,2023-06-12T05:50:00-04:00,6/12/2023 5:50,69.3,69.7,63.2,2.2,3.4,12.5,47,0,0,0,0,0.02,105.91,30.06,81,0,2.6,68,44,71.6,61,80.2,38,76.5,47,63,54,63.7,28.75,1,1,1,1,1,1,71.3,57.4,79.9,52.3,76.1,54.8,68,45.3,1,63,46.1
360,2023-06-12T05:55:00-04:00,6/12/2023 5:55,69.1,69.5,63,1.8,2.2,12.5,35,0,0,0,0,0.02,105.91,30.06,81,0,3.8,68.2,44,71.6,61,80.2,38,76.3,47,63,54,63.7,28.75,1,1,1,1,1,1,71.3,57.4,79.9,52.3,75.8,54.6,66.8,45.4,1,63,46.1
361,2023-06-12T06:00:00-04:00,6/12/2023 6:00,69.1,69.5,63,2.2,3.4,12.5,224,0,0,0,0,0.02,105.91,30.06,81,0,7.3,68.2,44,71.6,62,80.2,38,76.3,47,63,54,63.7,28.75,1,1,1,1,1,1,71.4,57.9,79.9,52.3,75.8,54.6,66.8,45.4,1,63,46.1
362,2023-06-12T06:05:00-04:00,6/12/2023 6:05,69.1,69.6,63.4,1.3,2.2,12.5,32,0,0,0,0,0.02,105.91,30.05,82,0,11.3,67.8,44,71.6,62,80.2,38,76.1,47,,,63.7,28.75,1,1,1,1,1,1,71.4,57.9,79.9,52.3,75.6,54.4,67.8,45.1,,,
363,2023-06-12T06:10:00-04:00,6/12/2023 6:10,69.1,69.6,63.4,0.9,1.1,12.5,51,0,0,0,0,0.02,105.91,30.05,82,0,13.3,67.6,44,71.4,62,80.1,38,76.1,48,,,63.7,28.74,1,1,1,1,1,1,71.2,57.7,79.8,52.2,75.7,55,67.6,44.9,,,
364,2023-06-12T06:15:00-04:00,6/12/2023 6:15,68.9,69.3,63.2,0.7,1.1,12.5,40,0,0,0,0,0.02,105.91,30.06,82,0,16,67.8,44,71.6,62,80.1,38,76.1,48,63.1,54,63.7,28.75,1,1,1,1,1,1,71.4,57.9,79.8,52.2,75.7,55,67.8,45.1,1,63.1,46.2
365,2023-06-12T06:20:00-04:00,6/12/2023 6:20,68.9,69.3,63.2,1.1,2.2,12.5,28,0,0,0,0,0.02,105.91,30.05,82,0,20.8,68,44,71.6,62,80.1,38,76.1,48,63,54,63.7,28.74,1,1,1,1,1,1,71.4,57.9,79.8,52.2,75.7,55,68,45.3,1,63,46.1
366,2023-06-12T06:25:00-04:00,6/12/2023 6:25,68.9,69.4,63.5,2.7,4.5,12.5,247,0,0,0,0,0.02,105.91,30.05,83,0,23.4,68.2,44,71.6,62,80.1,38,76.1,48,63.1,54,63.7,28.74,1,1,1,1,1,1,71.4,57.9,79.8,52.2,75.7,55,66.8,45.4,1,63.1,46.2
367,2023-06-12T06:30:00-04:00,6/12/2023 6:30,68.7,69.2,63.3,3.1,4.5,12.5,195,0,0,0,0,0.02,105.91,30.06,83,0,23.9,68.4,45,71.6,62,80.1,38,76.1,48,63.1,54,63.9,28.75,1,1,1,1,1,1,71.4,57.9,79.8,52.2,75.7,55,67.1,46.2,1,63.1,46.2
368,2023-06-12T06:35:00-04:00,6/12/2023 6:35,68.7,69.2,63.3,3.4,5.8,12.5,165,0,0,0,0,0.02,105.91,30.05,83,0,25.9,68.2,45,71.6,62,80.1,38,76.1,48,63.1,54,63.9,28.75,1,1,1,1,1,1,71.4,57.9,79.8,52.2,75.7,55,66.8,46,1,63.1,46.2
369,2023-06-12T06:40:00-04:00,6/12/2023 6:40,68.9,69.4,63.5,1.8,3.4,12.5,37,0,0,0,0,0.02,105.91,30.06,83,0,24.7,67.8,44,71.6,63,79.9,38,76.1,48,,,63.9,28.75,1,1,1,1,1,1,71.4,58.3,79.4,52,75.7,55,67.8,45.1,,,
370,2023-06-12T06:45:00-04:00,6/12/2023 6:45,68.9,69.4,63.5,1.6,2.2,12.5,34,0,0,0,0,0.02,105.91,30.06,83,0,37.2,68,44,71.8,63,79.9,38,76.1,48,,,63.7,28.75,1,1,1,1,1,1,71.6,58.5,79.4,52,75.7,55,68,45.3,,,
371,2023-06-12T06:50:00-04:00,6/12/2023 6:50,68.9,69.4,63.5,3.4,5.8,12.5,168,0,0,0,0,0.02,105.91,30.06,83,0,41.1,68.2,44,71.8,63,79.9,39,76.1,48,,,63.9,28.75,1,1,1,1,1,1,71.6,58.5,79.4,52.7,75.7,55,66.8,45.4,,,
372,2023-06-12T06:55:00-04:00,6/12/2023 6:55,68.9,69.4,63.9,4.3,5.8,12.5,116,0,0,0,0,0.02,105.91,30.06,84,0,56.8,68.4,44,71.8,63,79.9,39,76.1,48,,,63.9,28.75,1,1,1,1,1,1,71.6,58.5,79.4,52.7,75.7,55,67,45.6,,,
373,2023-06-12T07:00:00-04:00,6/12/2023 7:00,69.1,69.6,63.7,2.7,3.4,12.5,275,0,0,0,0,0.02,105.91,30.06,83,0,72.4,68.4,45,72,64,79.9,39,76.1,48,,,63.9,28.75,1,1,1,1,1,1,71.9,59.1,79.4,52.7,75.7,55,67.1,46.2,,,
374,2023-06-12T07:05:00-04:00,6/12/2023 7:05,69.4,69.9,64,2.2,2.2,12.5,29,0,0,0,0,0.02,105.91,30.06,83,0,57.6,68.5,45,72.1,64,79.9,39,76.1,48,63.1,54,63.9,28.75,1,1,1,1,1,1,72,59.2,79.4,52.7,75.7,55,67.2,46.3,1,63.1,46.2
375,2023-06-12T07:10:00-04:00,6/12/2023 7:10,69.3,69.8,63.9,2.9,3.4,12.5,165,0,0,0,0,0.02,105.91,30.06,83,0,53.3,68.2,44,72.3,63,79.9,39,75.9,48,63.1,54,63.9,28.75,1,1,1,1,1,1,72.2,59,79.4,52.7,75.4,54.8,66.8,45.4,1,63.1,46.2
376,2023-06-12T07:15:00-04:00,6/12/2023 7:15,69.3,69.9,64.2,1.6,3.4,12.5,178,0,0,0,0,0.02,105.91,30.05,84,0,85.4,68,44,72.5,64,79.9,39,75.7,48,63.1,54,63.7,28.75,1,1,1,1,1,1,72.5,59.6,79.4,52.7,75.2,54.6,68,45.3,1,63.1,46.2
377,2023-06-12T07:20:00-04:00,6/12/2023 7:20,69.4,70,64.3,2.2,3.4,12.5,34,0,0,0,0,0.02,105.91,30.05,84,1,101.9,68.2,44,72.7,64,79.7,39,75.7,48,63.1,54,63.7,28.74,1,1,1,1,1,1,72.7,59.8,79.2,52.5,75.2,54.6,66.8,45.4,1,63.1,46.2
378,2023-06-12T07:25:00-04:00,6/12/2023 7:25,69.6,70.2,64.2,2.5,3.4,12.5,37,0,0,0,0,0.02,105.91,30.05,83,0,94.6,68.2,44,73,63,79.7,39,75.7,48,63,54,63.7,28.74,1,1,1,1,1,1,73,59.6,79.2,52.5,75.2,54.6,66.8,45.4,1,63,46.1
379,2023-06-12T07:30:00-04:00,6/12/2023 7:30,70,70.6,64.6,4.7,8.1,12.5,192,0,0,0,0,0.02,105.91,30.05,83,0,98.4,68.2,45,73.4,63,79.7,39,75.7,48,63,54,63.7,28.74,1,1,1,1,1,1,73.4,60,79.2,52.5,75.2,54.6,66.8,46,1,63,46.1
380,2023-06-12T07:35:00-04:00,6/12/2023 7:35,70,70.6,64.6,0.2,1.1,12.5,42,0,0,0,0,0.02,105.91,30.06,83,0,78,68.2,45,73.8,63,79.7,39,75.7,48,63.1,54,63.9,28.75,1,1,1,1,1,1,73.8,60.4,79.2,52.5,75.2,54.6,66.8,46,1,63.1,46.2
381,2023-06-12T07:40:00-04:00,6/12/2023 7:40,70,70.6,64.6,5.1,6.9,12.5,172,0,0,0,0,0.02,105.91,30.06,83,0,58.5,67.8,44,74.1,63,79.7,39,75.7,48,63.1,54,63.7,28.75,1,1,1,1,1,1,74.2,60.7,79.2,52.5,75.2,54.6,67.8,45.1,1,63.1,46.2
382,2023-06-12T07:45:00-04:00,6/12/2023 7:45,69.8,70.4,64.7,3.4,4.5,12.5,166,0,0,0,0,0.02,105.91,30.05,84,1,104.5,67.6,44,74.3,63,79.7,39,75.7,48,63,54,63.7,28.75,1,1,1,1,1,1,74.4,60.9,79.2,52.5,75.2,54.6,67.6,44.9,1,63,46.1
383,2023-06-12T07:50:00-04:00,6/12/2023 7:50,70,70.6,64.6,1.3,2.2,12.5,33,0,0,0,0,0.02,105.91,30.06,83,1,140.4,67.8,44,74.7,63,79.7,39,75.7,48,63,54,63.7,28.75,1,1,1,1,1,1,74.8,61.3,79.2,52.5,75.2,54.6,67.8,45.1,1,63,46.1
384,2023-06-12T07:55:00-04:00,6/12/2023 7:55,70.3,70.9,64.9,1.1,1.1,12.5,50,0,0,0,0,0.02,105.91,30.05,83,1,122.7,68,44,74.8,63,79.7,39,75.7,48,63,54,63.7,28.74,1,1,1,1,1,1,74.9,61.3,79.2,52.5,75.2,54.6,68,45.3,1,63,46.1
385,2023-06-12T08:00:00-04:00,6/12/2023 8:00,70.9,71.5,65.1,4.9,6.9,12.5,57,0,0,0,0,0.02,105.91,30.05,82,1,202.6,68,45,75.4,63,79.7,39,75.7,49,63,54,63.7,28.75,1,1,1,1,1,1,75.6,61.9,79.2,52.5,75.3,55.2,68,45.9,1,63,46.1
386,2023-06-12T08:05:00-04:00,6/12/2023 8:05,70.7,71.3,64.9,5.4,9.2,12.5,292,0,0,0,0,0.02,105.91,30.05,82,1,151.3,67.6,44,75.9,62,79.7,40,75.9,49,63.1,54,63.7,28.74,1,1,1,1,1,1,76.1,61.9,79.2,53.2,75.5,55.4,67.6,44.9,1,63.1,46.2
387,2023-06-12T08:10:00-04:00,6/12/2023 8:10,70.7,71.3,64.9,3.1,5.8,12.5,14,0,0,0,0,0.02,105.91,30.05,82,1,155.7,67.6,44,76.3,62,79.5,38,75.9,49,63.1,54,63.9,28.75,1,1,1,1,1,1,76.5,62.3,78.9,51.6,75.5,55.4,67.6,44.9,1,63.1,46.2
388,2023-06-12T08:15:00-04:00,6/12/2023 8:15,70.9,71.5,65.1,4.9,6.9,12.5,104,0,0,0,0,0.02,105.91,30.06,82,1,132.7,68,45,76.6,61,79.2,37,75.9,49,63.1,54,63.9,28.75,1,1,1,1,1,1,76.8,62.1,78.6,50.7,75.5,55.4,68,45.9,1,63.1,46.2
389,2023-06-12T08:20:00-04:00,6/12/2023 8:20,70.5,71.2,65.1,6,10.3,12.5,142,0,0,0,0,0.02,105.91,30.05,83,0,92.7,68.2,45,76.8,61,78.6,36,75.9,49,63.1,55,63.9,28.75,1,1,1,1,1,1,77,62.3,77.9,49.4,75.5,55.4,66.8,46,1,63.1,46.7
390,2023-06-12T08:25:00-04:00,6/12/2023 8:25,70.7,71.3,64.9,1.8,2.2,12.5,43,0,0,0,0,0.02,105.91,30.05,82,1,109.2,68.2,46,77,61,78.4,36,75.9,49,63.1,55,63.9,28.74,1,1,1,1,1,1,77.3,62.5,77.6,49.2,75.5,55.4,66.9,46.6,1,63.1,46.7
391,2023-06-12T08:30:00-04:00,6/12/2023 8:30,70.7,71.3,64.9,2.2,4.5,12.5,142,0,0,0,0,0.02,105.91,30.05,82,0,96.3,67.8,47,77.2,61,77.9,36,75.7,49,63.1,55,63.9,28.74,1,1,1,1,1,1,77.5,62.7,77.1,48.8,75.3,55.2,67.8,46.8,1,63.1,46.7
392,2023-06-12T08:35:00-04:00,6/12/2023 8:35,70.3,70.9,64.9,6.9,11.4,12.5,166,0,0,0,0,0.02,105.91,30.04,83,0,78,68,47,77.2,60,77.5,37,75.7,49,63.1,55,63.9,28.73,1,1,1,1,1,1,77.4,62.2,76.7,49.2,75.3,55.2,68,47,1,63.1,46.7
393,2023-06-12T08:40:00-04:00,6/12/2023 8:40,70.3,70.9,64.9,7.6,9.2,12.5,210,0,0,0,0,0.02,105.91,30.05,83,0,84.5,68.4,47,77.2,60,77.4,37,75.6,49,63.1,55,64,28.74,1,1,1,1,1,1,77.4,62.2,76.6,49.1,75.2,55.1,67.1,47.4,1,63.1,46.7
394,2023-06-12T08:45:00-04:00,6/12/2023 8:45,70.3,70.9,64.9,3.1,4.5,12.5,97,0,0,0,0,0.02,105.91,30.05,83,0,95.8,68.2,47,77,60,77,37,75.6,49,63.1,55,63.9,28.74,1,1,1,1,1,1,77.2,62,76.1,48.7,75.2,55.1,66.9,47.2,1,63.1,46.7
395,2023-06-12T08:50:00-04:00,6/12/2023 8:50,70.3,70.9,64.9,2.5,3.4,12.5,25,0,0,0,0,0.02,105.91,30.05,83,0,75,67.6,46,77.2,60,76.6,37,75.6,49,63.1,55,63.9,28.74,1,1,1,1,1,1,77.4,62.2,75.7,48.4,75.2,55.1,67.6,46.1,1,63.1,46.7
396,2023-06-12T08:55:00-04:00,6/12/2023 8:55,70.2,70.8,64.8,6,8.1,12.5,194,0,0,0,0,0.02,105.91,30.04,83,0,94.6,68,46,77,60,76.5,38,75.6,49,63.1,55,63.9,28.73,1,1,1,1,1,1,77.2,62,75.6,49,75.2,55.1,68,46.4,1,63.1,46.7
397,2023-06-12T09:00:00-04:00,6/12/2023 9:00,70.5,71.2,65.1,1.1,3.4,12.5,176,0,0,0,0,0.02,105.91,30.05,83,0,85.4,68.2,46,77,60,76.3,38,75.6,49,63.1,55,64,28.74,1,1,1,1,1,1,77.2,62,75.4,48.8,75.2,55.1,66.9,46.6,1,63.1,46.7
398,2023-06-12T09:05:00-04:00,6/12/2023 9:05,70.3,70.9,64.9,3.6,5.8,12.5,38,0,0,0,0,0.02,105.91,30.05,83,1,102.3,68,46,77,60,75.9,38,75.6,50,63.1,55,63.9,28.74,1,1,1,1,1,1,77.2,62,75,48.5,75.2,55.6,68,46.4,1,63.1,46.7
399,2023-06-12T09:10:00-04:00,6/12/2023 9:10,70.5,71.2,65.1,2.9,3.4,13.6,226,0,0,0,0,0.02,105.91,30.04,83,1,142.6,67.6,46,77,60,75.7,38,75.6,50,63.3,55,63.9,28.73,1,1,1,1,1,1,77.2,62,74.8,48.3,75.2,55.6,67.6,46.1,1,63.3,46.9
